part,alpha,weight_balancing,model,split,dice,hausdorff
1,1.0,,MR_composite_at_CHAOS,val,0.1187496012231754,20.752037048339844
1,1.0,,MR_composite_at_CHAOS,test,0.1470170315681154,20.55599594116211
1,1.0,,MR_composite_at_MMWHS,train,0.3442354687532042,13.171977043151855
1,1.0,,MR_composite_at_MMWHS,val,0.3152749583650762,13.220640182495117
1,1.0,,MR_composite_at_MMWHS,test,0.32669745341690304,13.165031433105469
1,1.2,,CHAOS_composite_at_CT,train,0.7757315779494202,25.253402709960938
1,1.2,,CHAOS_composite_at_CT,val,0.772596226105721,25.34473419189453
1,1.2,,CHAOS_composite_at_CT,test,0.7766734265383406,25.39181900024414
1,1.2,,CHAOS_composite_at_MR,train,0.1950950740271276,35.985023498535156
1,1.2,,CHAOS_composite_at_MR,val,0.17532857768553134,35.6759147644043
1,1.2,,CHAOS_composite_at_MR,test,0.20144658108348557,35.33543014526367
1,1.2,,CT_composite_at_CHAOS,train,0.210376005126978,47.80131912231445
1,1.2,,CT_composite_at_CHAOS,val,0.21369519300979278,47.80474090576172
1,1.2,,CT_composite_at_CHAOS,test,0.21765459100488777,47.88497543334961
1,1.2,,CT_composite_at_MMWHS,train,0.12142069015779049,32.074066162109375
1,1.2,,CT_composite_at_MMWHS,val,0.11903492243976321,32.084354400634766
1,1.2,,CT_composite_at_MMWHS,test,0.11283860475609415,32.221580505371094
1,1.2,,MMWHS_composite_at_CT,train,0.26613885738437404,25.182846069335938
1,1.2,,MMWHS_composite_at_CT,val,0.2657127756646586,25.047298431396484
1,1.2,,MMWHS_composite_at_CT,test,0.26716214709495967,25.008956909179688
1,1.2,,MMWHS_composite_at_MR,train,0.08161165747692645,31.028118133544922
1,1.2,,MMWHS_composite_at_MR,val,0.06917881033232119,31.216598510742188
1,1.2,,MMWHS_composite_at_MR,test,0.07522976343476165,31.203994750976562
1,1.2,,MR_composite_at_CHAOS,train,0.10313220442673622,24.22325325012207
1,1.2,,MR_composite_at_CHAOS,val,0.06879873067580114,24.117897033691406
